股票代码,股票名称,交易所,来源指数,分红次数
600997,开滦股份,沪市主板,中证红利,20
601000,唐山港,沪市主板,中证红利,16
601001,晋控煤业,沪市主板,中证红利,12
601006,大秦铁路,沪市主板,中证红利,20
601009,南京银行,沪市主板,中证红利,19
601019,山东出版,沪市主板,中证红利,9
601077,渝农商行,沪市主板,中证红利,7
601088,中国神华,沪市主板,中证红利,19
601098,中南传媒,沪市主板,中证红利,16
601101,昊华能源,沪市主板,中证红利,15
601166,兴业银行,沪市主板,中证红利,19
601168,西部矿业,沪市主板,中证红利,17
601169,北京银行,沪市主板,中证红利,19
601187,厦门银行,沪市主板,中证红利,6
601216,君正集团,沪市主板,中证红利,14
601225,陕西煤业,沪市主板,中证红利,14
601229,上海银行,沪市主板,中证红利,10
601288,农业银行,沪市主板,中证红利,16
601318,中国平安,沪市主板,中证红利,37
601328,交通银行,沪市主板,中证红利,22
601398,工商银行,沪市主板,中证红利,20
601598,中国外运,沪市主板,中证红利,10
601658,邮储银行,沪市主板,中证红利,7
601666,平煤股份,沪市主板,中证红利,15
601668,中国建筑,沪市主板,中证红利,16
601699,潞安环能,沪市主板,中证红利,17
601717,中创智领,沪市主板,中证红利,15
601818,光大银行,沪市主板,中证红利,16
601825,沪农商行,沪市主板,中证红利,7
601838,成都银行,沪市主板,中证红利,8
601857,中国石油,沪市主板,中证红利,36
601916,浙商银行,沪市主板,中证红利,5
601919,中远海控,沪市主板,中证红利,10
601928,凤凰传媒,沪市主板,中证红利,18
601939,建设银行,沪市主板,中证红利,20
601963,重庆银行,沪市主板,中证红利,6
601988,中国银行,沪市主板,中证红利,20
601997,贵阳银行,沪市主板,中证红利,9
601998,中信银行,沪市主板,中证红利,18
603565,中谷物流,沪市主板,中证红利,7
603706,东方环宇,沪市主板,中证红利,7
603967,中创物流,沪市主板,中证红利,7
920599,同力股份,其他,中证红利,0
000333,美的集团,深市主板,中证红利质量,12
000423,东阿阿胶,深市主板,中证红利质量,28
000543,皖能电力,深市主板,中证红利质量,28
000807,云铝股份,深市主板,中证红利质量,21
000915,华特达因,深市主板,中证红利质量,16
000975,山金国际,深市主板,中证红利质量,20
001206,依依股份,深市主板,中证红利质量,9
001338,永顺泰,深市主板,中证红利质量,3
002117,东港股份,深市主板,中证红利质量,20
002532,天山铝业,深市主板,中证红利质量,16
002555,三七互娱,深市主板,中证红利质量,26
002690,美亚光电,深市主板,中证红利质量,13
002895,川恒股份,深市主板,中证红利质量,8
300009,安科生物,创业板,中证红利质量,17
300127,银河磁体,创业板,中证红利质量,15
300628,亿联网络,创业板,中证红利质量,12
300684,中石科技,创业板,中证红利质量,8
301061,匠心家居,创业板,中证红利质量,8
600210,紫江企业,沪市主板,中证红利质量,26
600285,羚锐制药,沪市主板,中证红利质量,23
600300,维维股份,沪市主板,中证红利质量,23
600351,亚宝药业,沪市主板,中证红利质量,21
600519,贵州茅台,沪市主板,中证红利质量,29
600660,福耀玻璃,沪市主板,中证红利质量,26
600873,梅花生物,沪市主板,中证红利质量,19
601601,中国太保,沪市主板,中证红利质量,19
