股票代码,股票名称,交易所,来源指数,分红次数
601928,凤凰传媒,沪市主板,中证红利,18
002056,横店东磁,深市主板,红利质量,18
002179,中航光电,深市主板,红利增长,18
601998,中信银行,沪市主板,中证红利,18
600562,国睿科技,沪市主板,红利增长,18
002158,汉钟精机,深市主板,红利增长,18
601168,西部矿业,沪市主板,中证红利,17
300033,同花顺,深市创业板,红利质量,17
601008,连云港,沪市主板,红利增长,17
002409,雅克科技,深市主板,红利增长,17
601699,潞安环能,沪市主板,中证红利,17
002415,海康威视,深市主板,红利质量,17
600971,恒源煤电,沪市主板,中证红利,17
002262,恩华药业,深市主板,红利增长,17
300346,南大光电,深市创业板,红利增长,17
300009,安科生物,深市创业板,中证红利质量,17
002017,东信和平,深市主板,红利增长,17
601000,唐山港,沪市主板,"中证红利, 中证红利质量",16
002532,天山铝业,深市主板,中证红利质量,16
601668,中国建筑,沪市主板,中证红利,16
601288,农业银行,沪市主板,中证红利,16
300015,爱尔眼科,深市创业板,红利增长,16
601958,金钼股份,沪市主板,中证红利质量,16
601098,中南传媒,沪市主板,中证红利,16
002318,久立特材,深市主板,红利增长,16
600039,四川路桥,沪市主板,中证红利,16
601818,光大银行,沪市主板,中证红利,16
000915,华特达因,深市主板,中证红利质量,16
600256,广汇能源,沪市主板,中证红利,16
600757,长江传媒,沪市主板,中证红利,16
000404,长虹华意,深市主板,红利增长,15
002563,森马服饰,深市主板,中证红利,15
601717,中创智领,沪市主板,"中证红利, 中证红利质量, 红利增长",15
601666,平煤股份,沪市主板,中证红利,15
601101,昊华能源,沪市主板,中证红利,15
300373,扬杰科技,深市创业板,红利质量,15
600546,山煤国际,沪市主板,中证红利,15
601336,新华保险,沪市主板,红利质量,15
002572,索菲亚,深市主板,中证红利,15
300127,银河磁体,深市创业板,中证红利质量,15
000672,上峰水泥,深市主板,中证红利,14
601225,陕西煤业,沪市主板,中证红利,14
601216,君正集团,沪市主板,中证红利,14
002371,北方华创,深市主板,红利增长,14
600057,厦门象屿,沪市主板,中证红利,13
002690,美亚光电,深市主板,中证红利质量,13
300384,三联虹普,深市创业板,红利增长,13
603444,吉比特,沪市主板,红利质量,13
603040,新坐标,沪市主板,"中证红利质量, 红利质量",13
300628,亿联网络,深市创业板,中证红利质量,12
601001,晋控煤业,沪市主板,中证红利,12
002756,永兴材料,深市主板,中证红利,12
603508,思维列控,沪市主板,中证红利质量,12
000333,美的集团,深市主板,中证红利质量,12
002867,周大生,深市主板,"中证红利, 中证红利质量",12
601900,南方传媒,沪市主板,红利质量,11
002737,葵花药业,深市主板,中证红利,11
002416,爱施德,深市主板,中证红利,11
601598,中国外运,沪市主板,中证红利,10
300092,科新机电,深市创业板,红利增长,10
300750,宁德时代,深市创业板,红利质量,10
603611,诺力股份,沪市主板,红利质量,10
603929,亚翔集成,沪市主板,红利质量,10
600919,江苏银行,沪市主板,中证红利,10
601919,中远海控,沪市主板,中证红利,10
603367,辰欣药业,沪市主板,红利质量,10
601229,上海银行,沪市主板,中证红利,10
601997,贵阳银行,沪市主板,中证红利,9
603203,快克智能,沪市主板,中证红利质量,9
603871,嘉友国际,沪市主板,中证红利质量,9
603233,大参林,沪市主板,红利质量,9
603816,顾家家居,沪市主板,"中证红利质量, 红利质量",9
603259,药明康德,沪市主板,"中证红利质量, 红利质量",9
001206,依依股份,深市主板,中证红利质量,9
002850,科达利,深市主板,红利增长,9
000408,藏格矿业,深市主板,中证红利,9
601019,山东出版,沪市主板,中证红利,9
603833,欧派家居,沪市主板,红利质量,8
600901,江苏金租,沪市主板,中证红利,8
603380,易德龙,沪市主板,"中证红利质量, 红利质量",8
002895,川恒股份,深市主板,中证红利质量,8
002192,融捷股份,深市主板,红利质量,8
300705,九典制药,深市创业板,红利增长,8
601838,成都银行,沪市主板,中证红利,8
301061,匠心家居,其他,中证红利质量,8
300693,盛弘股份,深市创业板,红利质量,8
300684,中石科技,深市创业板,中证红利质量,8
603129,春风动力,沪市主板,红利质量,8
688200,华峰测控,沪市科创板,红利质量,7
601825,沪农商行,沪市主板,中证红利,7
605028,世茂能源,沪市主板,中证红利质量,7
