股票代码,股票名称,交易所,来源指数,申万一级行业,申万二级行业,申万三级行业,概念板块,行业板块,2025年平均价,2025年分红(元/股),2025年分红次数,2025年股息率(%),2024年平均价,2024年分红(元/股),2024年分红次数,2024年股息率(%),2023年平均价,2023年分红(元/股),2023年分红次数,2023年股息率(%),近3年平均股价,3年平均股息率(%),2025Q1平均价,2025Q1分红(元/股),2025Q1股息率(%),2025Q2平均价,2025Q2分红(元/股),2025Q2股息率(%),2025Q3平均价,2025Q3分红(元/股),2025Q3股息率(%),2025Q4平均价,2025Q4分红(元/股),2025Q4股息率(%),2025年最高价,2025年最低价,2025年最高涨幅(%),2025年最低跌幅(%)
600285,羚锐制药,沪市主板,中证红利质量,医药生物,中药Ⅱ,中药Ⅲ,IPO受益;上证380;中药Ⅱ;中药Ⅲ;中药概念;养老金;创新药;医药生物;参股银行;小盘股;标准普尔;沪股通;河南板块;融资融券,中药Ⅱ,22.36,0.9,1,4.03,22.17,0.8,1,3.61,15.88,0.6,1,3.78,20.14,3.8,20.95,-,-,23.17,0.9,3.88,23.03,-,-,22.15,-,-,24.7,19.98,10.46,10.64
600406,国电南瑞,沪市主板,红利增长,电力设备,电网设备,电网自动化设备,HS300_;IGBT概念;MSCI中国;PPP模式;一带一路;上证180_;上证50_;东方财富热股;中特估;储能概念;充电桩;光伏概念;半导体概念;国产芯片;央国企改革;富时罗素;抽水蓄能;换电概念;数据中心;新能源;智能电网;机构重仓;标准普尔;核能核电;江苏板块;沪股通;特高压;电力设备;电网自动化设备;电网设备;节能环保;虚拟电厂;融资融券;证金持股;车联网(车路云);量子科技,电网设备,22.76,0.58,2,2.56,24.29,0.68,2,2.78,24.51,0.39,1,1.59,23.85,2.31,23.07,-,-,22.67,0.43,1.92,22.1,0.15,0.67,23.26,-,-,25.35,21.3,11.39,6.41
600350,山东高速,沪市主板,中证红利,交通运输,铁路公路,高速公路,上证180_;交通运输;参股银行;央国企改革;富时罗素;山东板块;机构重仓;标准普尔;沪股通;红利股;股权激励;融资融券;铁路公路;高速公路,铁路公路,9.92,0.42,1,4.23,8.76,0.42,1,4.8,6.59,0.4,1,6.07,8.42,5.03,9.93,-,-,10.81,-,-,9.66,0.42,4.35,9.32,-,-,11.44,8.53,15.31,14.02
988,华工科技,深市主板,红利增长,机械设备,自动化设备,激光设备,2025中报预增;3D打印;3D玻璃;5G概念;CPO概念;DeepSeek概念;F5G概念;IPO受益;MSCI中国;东方财富热股;传感器;充电桩;光通信模块;全息技术;创投;半导体概念;华为概念;央国企改革;富时罗素;工业母机;新材料;新能源车;昨日高振幅;智能家居;机器人概念;机械设备;柔性屏(折叠屏);标准普尔;深成500;深股通;湖北板块;湖北自贸;激光设备;物联网;特斯拉;玻璃基板;百元股;移动支付;自动化设备;苹果概念;蓝宝石;融资融券;量子科技;高压快充,自动化设备,56.04,0.2,1,0.36,32.1,0.15,1,0.47,29.72,0.1,1,0.34,39.29,0.39,42.53,-,-,41.87,0.2,0.48,60.94,-,-,77.63,-,-,99.15,33.83,76.93,39.63
600300,维维股份,沪市主板,中证红利质量,食品饮料,饮料乳品,软饮料,乳业;价值股;创投;参股银行;央国企改革;婴童概念;抖音小店;江苏板块;沪股通;生态农业;电商概念;粮食概念;软饮料;长江三角;食品饮料;饮料乳品,饮料乳品,3.47,0.13,1,3.69,2.76,0.07,1,2.35,3.17,0.02,1,0.57,3.14,2.2,3.24,-,-,3.66,0.13,3.5,3.43,-,-,3.54,-,-,4.41,2.86,27.03,17.62
600064,南京高科,沪市主板,中证红利,房地产,房地产开发,住宅开发,IPO受益;上证380;住宅开发;创投;参股券商;参股新三板;参股银行;央国企改革;小盘股;房地产;房地产开发;江苏板块;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;长期破净;长江三角,房地产开发,7.79,0.3,1,3.85,6.52,0.28,1,4.3,6.58,0.42,1,6.39,6.96,4.84,7.27,-,-,7.42,-,-,7.87,0.3,3.81,8.56,-,-,9.22,6.65,18.37,14.62
600398,海澜之家,沪市主板,中证红利,纺织服饰,服装家纺,非运动服装,MSCI中国;上证380;中证500;价值股;参股银行;央视50_;婴童概念;小红书概念;抖音小店;抖音概念(字节概念);新零售;服装家纺;标准普尔;江苏板块;沪股通;电商概念;红利股;纺织服饰;网红经济;融资融券;长江三角;阿里概念;非运动服装,服装家纺,7.23,0.18,1,2.49,7.51,0.79,2,10.51,6.82,0.43,1,6.3,7.19,6.44,8.04,-,-,7.71,-,-,6.96,0.18,2.59,6.27,-,-,8.78,6.05,21.52,16.27
600993,马应龙,沪市主板,红利增长,医药生物,中药Ⅱ,中药Ⅲ,QFII重仓;上证380;中药Ⅱ;中药Ⅲ;中药概念;养老金;医药生物;参股新三板;婴童概念;富时罗素;小盘股;标准普尔;沪股通;消毒剂;湖北板块;融资融券,中药Ⅱ,27.12,0.62,1,2.29,25.52,0.4,1,1.57,25.26,0.35,1,1.39,25.97,1.75,24.64,-,-,27.57,-,-,27.7,0.62,2.24,28.41,-,-,31.0,23.55,14.29,13.17
601328,交通银行,沪市主板,中证红利,银行,国有大型银行Ⅱ,国有大型银行Ⅲ,AH股;HS300_;MSCI中国;QFII重仓;上海板块;上证180_;上证50_;中特估;互联网金融;国有大型银行Ⅲ;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;跨境支付;银行;银行Ⅱ;长期破净;长江三角,银行Ⅱ,7.46,0.54,3,7.18,6.96,0.38,1,5.39,5.52,0.37,1,6.76,6.65,6.44,7.29,0.18,2.5,7.66,0.2,2.57,7.55,-,-,7.32,0.16,2.14,8.32,6.72,11.55,9.91
600284,浦东建设,沪市主板,红利增长,建筑装饰,基础建设,基建市政工程,上海板块;上海自贸;创投;基建市政工程;基础建设;央国企改革;富时罗素;工程建设;建筑装饰;机构重仓;标准普尔;沪股通;破净股;节能环保;融资融券;证金持股;长江三角,基础建设,7.26,0.18,2,2.48,5.9,0.38,2,6.47,6.73,0.21,1,3.12,6.63,4.02,6.17,-,-,6.71,0.1,1.49,7.88,-,-,8.16,0.08,0.98,10.3,5.67,41.89,21.89
999,华润三九,深市主板,红利增长,医药生物,中药Ⅱ,中药Ⅲ,HS300_;MSCI中国;中特估;中药Ⅱ;中药Ⅲ;中药概念;创新药;化妆品概念;医药生物;央国企改革;婴童概念;富时罗素;广东板块;标准普尔;流感;深圳特区;深成500;深股通;深证100R;独家药品;电商概念;病毒防治;维生素;融资融券,中药Ⅱ,35.26,0.77,2,2.18,49.57,2.5,2,5.04,52.31,1.0,1,1.91,45.71,3.05,42.84,-,-,39.76,0.32,0.8,30.5,-,-,28.81,0.45,1.56,45.53,27.97,29.11,20.68
600985,淮北矿业,沪市主板,中证红利,煤炭,煤炭开采,焦煤,2025中报预减;MSCI中国;上证380;中证500;反内卷概念;央国企改革;安徽板块;富时罗素;标准普尔;民爆概念;沪股通;焦煤;煤化工概念;煤炭;煤炭开采;破净股;红利破净股;红利股;融资融券;长期破净,煤炭开采,12.66,0.75,1,5.93,16.49,1.0,1,6.06,13.51,1.05,1,7.77,14.22,6.59,13.54,-,-,12.21,0.75,6.14,12.4,-,-,12.54,-,-,14.15,11.11,11.8,12.22
2028,思源电气,深市主板,红利增长,电力设备,电网设备,输变电设备,HS300_;MSCI中国;QFII重仓;上海板块;储能概念;充电桩;光伏概念;半导体概念;周期股;富时罗素;新能源;智能电网;标准普尔;深成500;深股通;深证100R;特高压;电力设备;电网设备;百元股;磁悬浮概念;融资融券;超级电容;输变电设备;长江三角;风能,电网设备,93.08,0.5,1,0.54,66.35,0.4,1,0.6,47.2,0.3,1,0.64,68.88,0.59,74.36,-,-,73.05,-,-,85.46,0.5,0.58,139.28,-,-,161.0,69.31,72.97,25.54
600351,亚宝药业,沪市主板,中证红利质量,医药生物,中药Ⅱ,中药Ⅲ,中药Ⅱ;中药Ⅲ;中药概念;价值股;创新药;医药生物;婴童概念;山西板块;幽门螺杆菌概念;沪股通;融资融券,中药Ⅱ,6.47,0.3,1,4.64,6.07,0.15,1,2.47,7.2,0.05,1,0.69,6.58,2.6,6.08,-,-,6.08,0.3,4.93,6.95,-,-,6.71,-,-,8.01,5.66,23.77,12.54
807,云铝股份,深市主板,中证红利质量,有色金属,工业金属,铝,HS300_;MSCI中国;云南板块;央国企改革;富时罗素;工业金属;新能源车;有色金属;标准普尔;深成500;深股通;燃料电池概念;稀缺资源;节能环保;融资融券;西部大开发;铝,工业金属,18.69,0.5,2,2.68,13.24,0.46,2,3.47,13.45,0.16,1,1.19,15.13,2.45,16.68,-,-,15.16,0.18,1.19,17.7,-,-,25.21,0.32,1.27,32.84,13.73,75.72,26.53
601899,紫金矿业,沪市主板,红利增长,有色金属,工业金属,铜,2025中报预增;AH股;HS300_;MSCI中国;一带一路;上证180_;上证50_;东方财富热股;周期股;基金重仓;央国企改革;富时罗素;小金属概念;工业金属;有色金属;机构重仓;标准普尔;沪股通;福建板块;稀缺资源;融资融券;证金持股;贬值受益;铜;锂矿概念;黄金概念,工业金属,21.83,0.5,2,2.29,15.99,0.3,2,1.88,12.06,0.25,2,2.07,16.63,2.08,16.59,-,-,17.97,0.28,1.56,22.05,0.22,1.0,30.44,-,-,34.47,15.18,57.87,30.48
975,山金国际,深市主板,中证红利质量,有色金属,贵金属,黄金,2025中报预增;HS300_;MSCI中国;内蒙古;央国企改革;富时罗素;小金属概念;昨日高振幅;有色金属;标准普尔;深成500;深股通;深证100R;融资融券;西部大开发;贵金属;黄金;黄金概念,贵金属,19.84,0.36,1,1.84,16.95,0.28,1,1.65,13.17,0.28,1,2.13,16.65,1.87,17.18,-,-,20.01,0.36,1.82,19.55,-,-,22.51,-,-,25.45,16.0,28.29,19.35
601939,建设银行,沪市主板,中证红利,银行,国有大型银行Ⅱ,国有大型银行Ⅲ,AH股;HS300_;MSCI中国;上证180_;中特估;互联网金融;北京板块;国有大型银行Ⅲ;央国企改革;央视50_;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;跨境支付;银行;银行Ⅱ;长期破净,银行Ⅱ,9.07,0.59,3,6.49,7.45,0.4,1,5.37,6.15,0.39,1,6.33,7.56,6.06,8.53,0.2,2.31,9.11,0.21,2.26,9.29,-,-,9.31,0.19,2.0,9.87,8.17,8.79,9.94
601988,中国银行,沪市主板,中证红利,银行,国有大型银行Ⅱ,国有大型银行Ⅲ,AH股;HS300_;MSCI中国;上证180_;上证50_;中字头;中特估;互联网金融;北京板块;国有大型银行Ⅲ;央国企改革;央视50_;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;跨境支付;银行;银行Ⅱ;长期破净,银行Ⅱ,5.56,0.35,3,6.33,4.67,0.24,1,5.06,3.73,0.23,1,6.23,4.65,5.87,5.41,0.12,2.23,5.57,0.12,2.18,5.55,-,-,5.7,0.11,1.92,6.29,5.18,13.09,6.86
600582,天地科技,沪市主板,红利增长,机械设备,专用设备,能源及重型设备,F5G概念;上证380;专用设备;中特估;中证500;人工智能;价值股;北京板块;央国企改革;富时罗素;新能源;机器人概念;机构重仓;机械设备;标准普尔;沪股通;煤化工概念;破净股;能源及重型设备;节能环保;融资融券,专用设备,6.09,0.32,1,5.2,6.35,0.28,1,4.41,5.39,0.2,1,3.71,5.94,4.44,6.09,-,-,6.12,0.32,5.18,6.16,-,-,5.99,-,-,6.69,5.68,9.82,6.76
2043,兔宝宝,深市主板,中证红利,建筑材料,装修建材,其他建材,其他建材Ⅲ;养老金;富时罗素;小盘股;建筑材料;智能家居;浙江板块;深股通;电商概念;红利股;融资融券;装修建材;长江三角,装修建材,11.2,0.6,2,5.36,10.53,0.83,2,7.88,11.09,0.5,1,4.51,10.94,5.92,10.92,-,-,10.32,0.32,3.1,10.36,0.28,2.7,13.25,-,-,14.5,9.6,29.51,14.26
600997,开滦股份,沪市主板,中证红利,煤炭,煤炭开采,焦煤,养老金;反内卷概念;央国企改革;小盘股;机构重仓;氢能源;沪股通;河北板块;焦炭Ⅱ;焦炭Ⅲ;煤化工概念;煤炭;破净股;稀缺资源;红利破净股;红利股;融资融券;长期破净;雄安新区,焦炭Ⅱ,6.37,0.26,1,4.08,7.21,0.34,1,4.76,6.77,0.58,1,8.57,6.78,5.81,6.59,-,-,6.08,0.26,4.28,6.38,-,-,6.43,-,-,7.48,5.68,17.46,10.81
600461,洪城环境,沪市主板,中证红利,环保,环境治理,水务及水治理,PPP模式;创投;垃圾分类;天然气;央国企改革;小盘股;机构重仓;水务及水治理;江西板块;沪股通;环保;环境治理;红利股;节能环保;融资融券;转债标的,环境治理,9.38,0.46,1,4.95,10.17,0.44,1,4.34,8.03,0.43,1,5.4,9.19,4.89,9.21,-,-,9.66,-,-,9.24,0.46,5.02,9.42,-,-,10.25,8.78,9.27,6.4
600373,中文传媒,沪市主板,中证红利,传媒,出版,大众出版,2025中报预减;上证380;传媒;出版;参股新三板;在线教育;增强现实;大众出版;央国企改革;富时罗素;小盘股;广电;数字阅读;机构重仓;标准普尔;江西板块;沪股通;破净股;红利破净股;红利股;网络游戏;虚拟现实;融资融券;长期破净,出版,10.7,0.4,1,3.74,14.25,0.78,1,5.47,12.8,0.75,1,5.86,12.59,5.02,11.65,-,-,10.67,0.4,3.75,10.2,-,-,10.4,-,-,12.72,9.2,18.82,14.06
601006,大秦铁路,沪市主板,中证红利,交通运输,铁路公路,铁路运输,HS300_;MSCI中国;上证180_;中特估;交通运输;央国企改革;富时罗素;山西板块;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;铁路公路;铁路基建;铁路运输;长期破净,铁路公路,6.3,0.22,2,3.49,7.01,0.51,2,7.3,7.22,0.48,1,6.65,6.84,5.81,6.55,-,-,6.68,-,-,6.37,0.14,2.2,5.61,0.08,1.42,6.86,5.16,8.83,18.14
2117,东港股份,深市主板,中证红利质量,轻工制造,包装印刷,印刷,DeepSeek概念;Web3.0;人形机器人;包装印刷;区块链;印刷;大数据;富时罗素;山东板块;彩票概念;拼多多概念;数据确权;机器人概念;深股通;移动支付;算力概念;蚂蚁概念;融资融券;财税数字化;轻工制造;造纸印刷,包装印刷,12.32,0.21,1,1.71,7.73,0.31,2,4.01,9.36,0.22,1,2.35,9.8,2.69,13.54,-,-,11.4,0.21,1.84,12.11,-,-,12.29,-,-,14.92,10.42,21.15,15.39
600502,安徽建工,沪市主板,中证红利,建筑装饰,基础建设,基建市政工程,PPP模式;一带一路;基建市政工程;基础建设;央国企改革;安徽板块;富时罗素;小盘股;工程建设;建筑装饰;房屋检测;新型城镇化;机构重仓;标准普尔;水利建设;沪股通;海绵城市;破净股;红利破净股;红利股;绿色电力;融资融券;装配建筑;长期破净,基础建设,4.7,0.27,2,5.74,4.67,0.26,1,5.57,5.32,0.25,1,4.7,4.9,5.34,4.53,-,-,4.72,0.27,5.72,4.79,-,-,4.75,-,-,5.18,4.36,10.18,7.26
2233,塔牌集团,深市主板,"中证红利, 中证红利质量",建筑材料,水泥,水泥制造,2025中报预增;举牌;创投;反内卷概念;富时罗素;小盘股;广东板块;建筑材料;标准普尔;水泥;水泥制造;深股通;破净股;粤港自贸;红利破净股;红利股;融资融券,水泥,8.21,0.45,1,5.48,7.3,0.5,1,6.85,7.81,0.12,1,1.54,7.77,4.62,7.63,-,-,7.68,0.45,5.86,8.55,-,-,8.94,-,-,9.69,7.19,17.98,12.46
2154,报喜鸟,深市主板,中证红利,纺织服饰,服装家纺,非运动服装,C2M概念;创投;数据要素;服装家纺;浙江板块;深股通;电商概念;红利股;纺织服饰;网红经济;融资融券;长江三角;非运动服装,服装家纺,4.01,0.05,1,1.25,5.06,0.32,2,6.33,5.66,0.2,1,3.53,4.91,3.7,4.23,-,-,3.85,0.05,1.3,3.92,-,-,4.04,-,-,4.72,3.7,17.8,7.65
601398,工商银行,沪市主板,中证红利,银行,国有大型银行Ⅱ,国有大型银行Ⅲ,AH股;HS300_;MSCI中国;一带一路;上证180_;上证50_;中特估;互联网金融;北京板块;区块链;参股保险;参股银行;国有大型银行Ⅲ;央国企改革;央视50_;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;跨境支付;银行;银行Ⅱ;长期破净,银行Ⅱ,7.37,0.45,3,6.1,5.72,0.31,1,5.35,4.67,0.3,1,6.51,5.92,5.99,6.79,0.14,2.11,7.13,-,-,7.58,0.16,2.17,7.93,0.14,1.78,8.31,6.44,12.75,12.63
601601,中国太保,沪市主板,"中证红利质量, 红利质量",非银金融,保险Ⅱ,保险Ⅲ,AH股;GDR;HS300_;MSCI中国;上海板块;上证180_;上证50_;保险Ⅱ;保险Ⅲ;养老概念;周期股;央视50_;富时罗素;机构重仓;标准普尔;沪股通;蚂蚁概念;融资融券;证金持股;长江三角;非银金融,保险Ⅱ,35.12,1.08,1,3.07,29.14,1.02,1,3.5,27.52,1.02,1,3.71,30.59,3.43,31.85,-,-,33.24,-,-,37.7,1.08,2.86,37.29,-,-,42.64,29.09,21.4,17.18
2540,亚太科技,深市主板,中证红利,有色金属,工业金属,铝,3D打印;军工;商业航天;工业金属;新能源车;有色金属;江苏板块;汽车热管理;深股通;红利股;转债标的;铝,工业金属,6.27,0.3,2,4.78,5.67,0.48,2,8.56,5.93,0.41,2,6.91,5.96,6.75,6.04,-,-,5.92,0.2,3.38,6.24,0.1,1.6,6.87,-,-,7.43,5.55,18.49,11.49
600096,云天化,沪市主板,"中证红利, 中证红利质量, 红利质量",基础化工,农化制品,磷肥及磷化工,MSCI中国;一带一路;上证380;中证500;云南板块;价值股;农化制品;化工原料;基础化工;央国企改革;新材料;机构重仓;氟化工概念;沪股通;煤化工概念;碳交易;磷化工;磷肥及磷化工;融资融券;西部大开发;锂电池概念,农化制品,25.11,1.6,2,6.37,20.15,1.0,1,4.96,18.53,1.0,1,5.4,21.26,5.58,21.91,-,-,22.45,1.4,6.24,25.22,0.2,0.79,30.68,-,-,35.87,20.65,42.87,17.75
601169,北京银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,HS300_;MSCI中国;上证180_;互联网金融;京东金融;价值股;北京板块;参股保险;城商行Ⅲ;富时罗素;小米概念;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;银行;银行Ⅱ;长期破净,银行Ⅱ,6.08,0.32,2,5.27,5.52,0.32,1,5.8,4.53,0.31,1,6.84,5.37,5.97,5.94,0.12,2.02,6.34,-,-,6.35,0.2,3.15,5.65,-,-,7.25,5.46,19.31,10.15
600737,中粮糖业,沪市主板,中证红利,农林牧渔,农产品加工,其他农产品加工,2025中报预减;MSCI中国;上证380;中字头;中证500;乡村振兴;其他农产品加工;农业种植;农产品加工;农林牧渔;央国企改革;富时罗素;新疆板块;沪股通;融资融券;西部大开发;调味品概念,农产品加工,12.28,0.41,1,3.34,9.43,0.83,2,8.8,8.08,0.5,2,6.19,9.93,6.11,9.54,-,-,9.41,-,-,13.26,0.41,3.09,16.67,-,-,19.39,9.2,57.93,25.07
2078,太阳纸业,深市主板,红利增长,轻工制造,造纸,大宗用纸,MSCI中国;中证500;代糖概念;养老金;大宗用纸;富时罗素;山东板块;标准普尔;深成500;深股通;融资融券;轻工制造;造纸;造纸印刷,造纸,14.36,0.4,2,2.79,13.89,0.3,1,2.16,11.65,0.2,1,1.72,13.3,2.22,14.17,-,-,14.0,-,-,14.42,0.3,2.08,14.83,0.1,0.67,15.94,13.16,11.01,8.35
600348,华阳股份,沪市主板,中证红利,煤炭,煤炭开采,焦煤,MSCI中国;上证380;中证500;储能概念;光伏概念;动力煤;反内卷概念;天然气;央国企改革;富时罗素;山西板块;机构重仓;标准普尔;沪股通;煤化工概念;煤炭;煤炭开采;碳纤维;稀缺资源;红利股;融资融券;超超临界发电;钠离子电池,煤炭开采,7.13,0.31,1,4.33,8.8,0.72,1,8.16,10.95,0.88,1,8.01,8.96,6.83,6.73,-,-,6.66,-,-,7.15,0.31,4.32,7.97,-,-,8.92,6.2,25.06,13.07
601088,中国神华,沪市主板,"中证红利, 中证红利质量",煤炭,煤炭开采,动力煤,AH股;HS300_;MSCI中国;上证180_;上证50_;中字头;中特估;动力煤;北京板块;反内卷概念;周期股;央国企改革;央视50_;富时罗素;机构重仓;标准普尔;沪股通;煤化工概念;煤炭;煤炭开采;稀缺资源;红利股;融资融券;证金持股;铁路基建,煤炭开采,39.27,3.24,2,8.25,40.16,2.26,1,5.63,29.36,2.55,1,8.68,36.26,7.52,37.83,-,-,39.2,-,-,38.38,2.26,5.89,41.53,0.98,2.36,43.99,35.35,12.03,9.97
2267,陕天然气,深市主板,中证红利,公用事业,燃气Ⅱ,燃气Ⅲ,公用事业;天然气;央国企改革;富时罗素;小盘股;昨日高振幅;标准普尔;深股通;燃气Ⅱ;燃气Ⅲ;融资融券;西部大开发;证金持股;陕西板块,燃气Ⅱ,8.06,0.35,1,4.34,7.36,0.4,2,5.44,7.46,0.3,1,4.02,7.63,4.6,7.77,-,-,8.3,0.35,4.21,8.11,-,-,8.05,-,-,9.32,7.42,15.61,7.96
600873,梅花生物,沪市主板,"中证红利质量, 红利质量",基础化工,化学制品,食品及饲料添加剂,MSCI中国;上证380;中证500;价值股;化学制品;参股银行;合成生物;基础化工;沪股通;生物疫苗;病毒防治;红利股;维生素;融资融券;西藏板块;西部大开发;调味品概念;食品及饲料添加剂,化学制品,10.55,0.43,1,4.04,10.28,0.6,2,5.8,9.46,0.4,1,4.23,10.1,4.69,9.78,-,-,10.8,0.43,3.94,10.97,-,-,10.58,-,-,11.65,9.14,10.39,13.39
601009,南京银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,HS300_;MSCI中国;上证180_;互联网金融;城商行Ⅲ;富时罗素;机构重仓;标准普尔;江苏板块;沪股通;破净股;红利破净股;红利股;融资融券;银行;银行Ⅱ;长期破净;长江三角,银行Ⅱ,11.07,0.51,2,4.57,9.67,0.88,2,9.13,8.63,0.53,1,6.19,9.79,6.63,10.36,-,-,10.94,0.2,1.82,11.44,-,-,11.45,0.31,2.67,12.15,10.0,9.79,9.64
2096,易普力,深市主板,红利增长,基础化工,化学制品,民爆制品,IPO受益;军工;军民融合;基建市政工程;基础建设;央国企改革;小盘股;建筑装饰;民爆概念;深成500;深股通;湖南板块;雅下水电概念,基础建设,12.69,0.23,1,1.81,11.79,0.2,1,1.74,11.65,0.03,1,0.26,12.04,1.27,11.25,-,-,12.07,-,-,13.78,0.23,1.67,13.46,-,-,17.06,10.13,34.47,20.15
601166,兴业银行,沪市主板,中证红利,银行,股份制银行Ⅱ,股份制银行Ⅲ,HS300_;MSCI中国;上证180_;上证50_;互联网金融;价值股;央视50_;富时罗素;机构重仓;标准普尔;沪股通;破净股;福建板块;红利破净股;红利股;股份制银行Ⅲ;融资融券;证金持股;跨境支付;转债标的;银行;银行Ⅱ;长期破净,银行Ⅱ,21.64,1.06,1,4.9,17.09,1.04,1,6.08,16.28,1.19,1,7.3,18.34,6.09,20.65,-,-,22.34,1.06,4.74,22.6,-,-,20.82,-,-,25.14,18.92,16.19,12.56
2046,国机精工,深市主板,红利增长,机械设备,通用设备,磨具磨料,中芯概念;军工;半导体概念;商业航天;国产芯片;培育钻石;央国企改革;小盘股;机器人执行器;机器人概念;机械设备;河南板块;深股通;磨具磨料;空间站概念;融资融券;通用设备;风能,通用设备,22.55,0.21,1,0.93,10.89,0.2,1,1.84,11.7,0.18,1,1.51,15.05,1.43,14.9,-,-,15.6,0.21,1.35,26.62,-,-,32.27,-,-,44.91,12.09,99.19,46.38
2353,杰瑞股份,深市主板,红利增长,机械设备,专用设备,能源及重型设备,MSCI中国;一带一路;专用设备;中俄贸易概念;中证500;动力电池回收;天然气;富时罗素;山东板块;昨日高振幅;机械设备;标准普尔;油气设服;海工装备;深成500;深股通;百元股;能源及重型设备;融资融券;页岩气,专用设备,43.43,0.84,2,1.93,31.95,0.61,2,1.91,28.25,0.33,1,1.17,34.54,1.67,36.79,-,-,33.36,0.69,2.07,43.99,0.15,0.34,59.19,-,-,75.87,28.33,74.69,34.77
601928,凤凰传媒,沪市主板,中证红利,传媒,出版,教育出版,上证380;中证500;云计算;价值股;传媒;出版;在线教育;央国企改革;教育出版;数字阅读;数据中心;机构重仓;江苏板块;沪股通;红利股;网络游戏;虚拟现实;蚂蚁概念;融资融券,出版,10.94,0.6,2,5.49,10.68,0.5,1,4.68,10.5,0.5,1,4.76,10.71,4.98,10.82,-,-,11.64,-,-,11.02,0.5,4.54,10.25,0.1,0.98,12.04,9.95,10.1,9.02
2056,横店东磁,深市主板,红利质量,电力设备,光伏设备,光伏电池组件,2025三季报预增;2025中报预增;5G概念;BC电池;MSCI中国;TOPCon电池;中证500;价值股;低空经济;光伏概念;光伏电池组件;光伏设备;共享经济;军工;华为概念;富时罗素;小金属概念;工业互联;新材料;新能源;新能源车;无线充电;昨日高振幅;标准普尔;氢能源;浙江板块;深成500;深股通;特斯拉;电力设备;磁悬浮概念;稀土永磁;苹果概念;融资融券;锂电池概念;长江三角,光伏设备,16.12,0.83,2,5.16,13.39,0.39,1,2.9,17.73,0.36,1,2.04,15.74,3.37,13.64,-,-,13.51,0.45,3.35,16.91,0.38,2.25,20.2,-,-,22.54,12.42,39.87,22.93
2179,中航光电,深市主板,红利增长,国防军工,军工电子Ⅱ,军工电子Ⅲ,5G概念;6G概念;HS300_;MSCI中国;充电桩;军工;军工电子Ⅱ;军工电子Ⅲ;军民融合;北交所概念;华为概念;可控核聚变;周期股;商业航天;国防军工;大飞机;央国企改革;富时罗素;换电概念;新能源车;机器人概念;标准普尔;河南板块;液冷概念;深成500;深股通;深证100R;特斯拉;融资融券,军工电子Ⅱ,38.67,0.8,1,2.07,37.28,0.6,1,1.61,46.86,0.55,1,1.17,40.93,1.62,38.92,-,-,40.28,0.8,1.99,39.83,-,-,35.53,-,-,43.35,32.27,12.12,16.54
601998,中信银行,沪市主板,中证红利,银行,股份制银行Ⅱ,股份制银行Ⅲ,AH股;HS300_;MSCI中国;上证180_;中特估;北京板块;央国企改革;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;股份制银行Ⅲ;融资融券;证金持股;银行;银行Ⅱ;长期破净,银行Ⅱ,7.62,0.36,2,4.72,6.52,0.51,2,7.8,5.67,0.33,1,5.8,6.61,6.11,6.82,-,-,7.75,-,-,8.11,0.17,2.12,7.74,0.19,2.43,8.98,6.42,17.78,15.8
600562,国睿科技,沪市主板,红利增长,国防军工,军工电子Ⅱ,军工电子Ⅲ,5G概念;PPP模式;上证380;中证500;低空经济;军工;军工电子Ⅱ;军工电子Ⅲ;军民融合;华为概念;可控核聚变;商业航天;国防军工;大飞机;央国企改革;富时罗素;无人驾驶;江苏板块;沪股通;融资融券;长江三角,军工电子Ⅱ,25.62,0.25,2,0.99,14.67,0.14,1,0.99,15.69,0.13,1,0.85,18.66,0.94,19.66,-,-,24.56,-,-,29.54,0.16,0.53,28.03,0.1,0.35,35.02,17.54,36.69,31.54
2158,汉钟精机,深市主板,红利增长,机械设备,通用设备,制冷空调设备,上海板块;专精特新;光伏概念;养老金;冷链物流;制冷空调设备;半导体概念;地热能;富时罗素;小盘股;工业互联;数据中心;新能源车;昨日高振幅;机械设备;氢能源;深股通;燃料电池概念;空气能热泵;节能环保;融资融券;通用设备;长江三角,通用设备,20.72,0.58,1,2.8,18.84,0.58,1,3.08,24.27,0.44,1,1.81,21.28,2.56,19.23,-,-,17.67,0.58,3.28,21.59,-,-,24.21,-,-,28.74,16.44,38.74,20.64
