股票代码,股票简称,概念板块,行业板块,数据季度
002601,龙佰集团,中盘价值;中盘股;养老概念;固态电池;氢能源;深成500;深证100R;电池技术;红利股;钒电池;钛白粉概念;锂电池概念,化学原料;基础化工;钛白粉,2026Q2
002690,美亚光电,养老金;医疗器械概念;小盘价值;小盘股;工业互联;机器视觉;深成500;食品安全,专用设备;其他专用设备;机械设备,2026Q2
002737,葵花药业,中药概念;创新药;婴童概念;流感;肝炎概念;黑龙江,中药Ⅱ;中药Ⅲ;医药生物,2026Q2
002756,永兴材料,中盘价值;中盘股;中证500;反内卷概念;核能核电;深成500;电池技术;破增发价股;股权激励;航天航空;锂电池概念;锂矿概念,有色金属;能源金属;锂,2026Q2
002867,周大生,小盘价值;小盘股;深圳特区;深成500;电商概念;黄金概念,纺织服饰;钟表珠宝;饰品,2026Q2
600012,皖通高速,AH股;上证380;中盘价值;中盘股;参股新三板;央国企改革;红利股,交通运输;铁路公路;高速公路,2026Q2
600015,华夏银行,互联网金融;大盘价值;破净股;破增发价股;红利破净股;红利股;蚂蚁概念;跨境支付;银行Ⅱ;长期破净,股份制银行Ⅲ;银行,2026Q2
600016,民生银行,AH股;互联网金融;参股券商;大盘价值;红利破净股;红利股;跨境支付;银行Ⅱ;长期破净,股份制银行Ⅲ;银行,2026Q2
600028,中国石化,AH股;一带一路;中字头;中特估;周期股;大盘价值;天然气;央国企改革;氢能源;油气资源;碳交易;红利破净股;红利股;页岩气,炼化及贸易;炼油化工;石油石化,2026Q2
600036,招商银行,AH股;互联网金融;大盘价值;深圳特区;茅指数;跨境支付;银行Ⅱ,股份制银行Ⅲ;银行,2026Q2
600039,四川路桥,PPP模式;一带一路;举牌;大盘价值;央国企改革;工程建设;成渝特区;电池技术;碳交易;磷化工;红利股;西部大开发;锂电池概念;雅下水电概念,基建市政工程;基础建设;建筑装饰,2026Q2
600057,厦门象屿,一带一路;上证380;农业种植;冷链物流;参股银行;土地流转;央国企改革;小盘价值;小盘股;数据要素;红利股;股权激励,交通运输;原材料供应链服务;物流,2026Q2
600064,南京高科,IPO受益;上证380;创投;参股券商;参股新三板;参股银行;央国企改革;小盘价值;小盘股;破净股;红利破净股;红利股;长期破净;长江三角,住宅开发;房地产;房地产开发,2026Q2
600096,云天化,一带一路;上证380;中盘价值;中盘股;中证500;化工原料;央国企改革;新材料;氟化工概念;煤化工概念;电池技术;碳交易;磷化工;西部大开发;锂电池概念,农化制品;基础化工;磷肥及磷化工,2026Q2
600123,兰花科创,上证380;反内卷概念;央国企改革;新材料;煤化工概念;稀缺资源;红利破净股;红利股;长期破净,焦煤;煤炭;煤炭开采,2026Q2
600153,建发股份,上证380;中盘价值;中盘股;中证500;养老金;内贸流通;央国企改革;小米汽车;电商概念;白酒;红利破净股;红利股;长期破净,交通运输;原材料供应链服务;物流,2026Q2
600177,雅戈尔,C2M概念;上证380;中盘价值;中盘股;中证500;互联网金融;养老概念;参股保险;参股银行;工业大麻;电商概念;破净股;红利破净股;红利股;长期破净,服装家纺;纺织服饰;非运动服装,2026Q2
600188,兖矿能源,AH股;参股期货;参股银行;反内卷概念;周期股;大盘价值;央国企改革;煤化工概念;稀缺资源;红利股,动力煤;煤炭;煤炭开采,2026Q2
600210,紫江企业,2025三季报预增;上证380;低空经济;养老金;刀片电池;创投;包装材料;固态电池;大飞机;小盘价值;小盘股;毫米波概念;电池技术;锂电池概念;长江三角;降解塑料;飞行汽车(eVTOL),包装印刷;塑料包装;轻工制造,2026Q2
600256,广汇能源,2025年报预减;一带一路;上证380;中盘价值;中盘股;天然气;氢能源;油气资源;煤化工概念;碳交易;西部大开发,动力煤;煤炭;煤炭开采,2026Q2
600273,嘉化能源,上证380;光伏概念;小盘价值;小盘股;新材料;新能源;氢能源;破净股;红利破净股;红利股;长江三角,其他化学制品;化学制品;基础化工,2026Q2
600282,南钢股份,C2M概念;一带一路;上证380;中盘价值;中盘股;中证500;人工智能;人形机器人;创投;化债(AMC)概念;参股新三板;反内卷概念;可燃冰;工业互联;工程机械概念;核能核电;水利建设;油气设服;油气资源;海洋经济;红利股;节能环保;贬值受益;长江三角;风能,普钢;板材;钢铁,2026Q2
600284,浦东建设,上海自贸;创投;央国企改革;工程建设;节能环保;长江三角,基建市政工程;基础建设;建筑装饰,2026Q2
600285,羚锐制药,IPO受益;上证380;中药概念;养老金;创新药;参股银行;小盘价值;小盘股,中药Ⅱ;中药Ⅲ;医药生物,2026Q2
600295,鄂尔多斯,AB股;上证380;中盘股;中证500;内蒙古;创投;小金属概念;红利股;西部大开发,冶钢原料;冶钢辅料;钢铁,2026Q2
